Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
179,0,-0.0186304,0.0141243,-0.011457,250.248,-337.571,233.425
180,0,-0.0183887,0.0140519,-0.0109974,250.261,-338.385,233.44
181,0,-0.0190658,0.0138928,-0.0112105,250.295,-339.156,233.45
182,0,-0.0192158,0.0134449,-0.0103414,250.329,-339.892,233.444
183,0,-0.0200838,0.0136462,-0.0113362,250.356,-340.609,233.459
184,0,-0.0150928,0.00353873,-0.00554556,251.952,-345.042,232.261
185,0,-0.0161872,0.00334222,-0.00463012,251.955,-345.8,232.307
186,0,-0.014985,0.00297051,-0.00531778,251.975,-346.541,232.354
187,0,-0.0157734,0.0038173,-0.00519876,252.029,-347.274,232.35
188,0,-0.0150003,0.00377304,-0.00526737,252.032,-348.045,232.356
189,0,-0.0141914,0.0034542,-0.00523993,252.057,-348.825,232.355
190,0,-0.0146661,0.00342533,-0.00484071,252.105,-349.587,232.363
191,0,-0.0164561,0.002943,-0.00509247,252.173,-350.373,232.387
192,0,-0.0158927,0.00327088,-0.00591517,252.199,-351.106,232.408
193,0,-0.0146513,0.00348691,-0.00435142,252.187,-351.843,232.438
194,0,-0.0146223,0.00383761,-0.00498203,252.205,-352.603,232.446
195,0,-0.0147864,0.00413897,-0.00518252,252.261,-353.357,232.458
196,0,-0.0157189,0.00394257,-0.00516858,252.296,-354.15,232.464
197,0,-0.0153063,0.00329387,-0.00481072,252.32,-354.969,232.459
198,0,-0.0151866,0.00282869,-0.00526712,252.353,-355.687,232.466
199,0,-0.0154335,0.00335798,-0.00482492,252.377,-356.423,232.492
200,0,-0.0163444,0.00402371,-0.0057061,252.398,-357.172,232.525
201,0,-0.0149328,0.00327263,-0.00429282,252.404,-357.898,232.554
202,0,-0.014395,0.00389228,-0.00526028,252.436,-358.686,232.571
203,0,-0.0141574,0.00423131,-0.00527567,252.508,-359.462,232.578
204,0,-0.0154966,0.00402367,-0.00427472,252.544,-360.237,232.591
205,0,-0.0163615,0.00222239,-0.00425322,252.568,-361.058,232.595
206,0,-0.0152571,0.00220011,-0.00520078,252.585,-361.735,232.616
207,0,-0.0151426,0.00320581,-0.00507304,252.609,-362.463,232.635
208,0,-0.015246,0.00429239,-0.00548175,252.618,-363.244,232.667
209,0,-0.0147688,0.00348941,-0.00485839,252.672,-363.982,232.672
210,0,-0.0150708,0.00353927,-0.0053697,252.704,-364.766,232.669
211,0,-0.014609,0.00246419,-0.00529773,252.745,-365.576,232.661
212,0,-0.0150578,0.00352544,-0.00519116,252.794,-366.302,232.677
213,0,-0.0157699,0.00249848,-0.00442559,252.816,-367.106,232.704
214,0,-0.014921,0.00308819,-0.00527928,252.815,-367.824,232.748
215,0,-0.0152328,0.00332882,-0.00509516,252.875,-368.582,232.768
216,0,-0.0149161,0.00441734,-0.00561713,252.889,-369.352,232.799
217,0,-0.0146216,0.00428681,-0.00527005,252.93,-370.105,232.804
218,0,-0.0141228,0.00342119,-0.00560367,252.967,-370.872,232.805
219,0,-0.0157293,0.00258552,-0.00572478,253.008,-371.646,232.818
220,0,-0.0157851,0.00274497,-0.00603824,253.027,-372.362,232.841
221,0,-0.0155697,0.00341471,-0.00524215,253.045,-373.14,232.861
222,0,-0.0156584,0.00406673,-0.00583316,253.064,-373.894,232.887
223,0,-0.0152384,0.00345942,-0.00546851,253.104,-374.625,232.896
224,0,-0.0162431,0.00420253,-0.0057512,253.149,-375.418,232.891
225,0,-0.0147841,0.00329937,-0.00521702,253.16,-376.196,232.888
226,0,-0.0149092,0.00274579,-0.0052497,253.186,-376.926,232.902
227,0,-0.0151005,0.00227353,-0.00477518,253.253,-377.754,232.926
228,0,-0.0160664,0.00257484,-0.00538644,253.277,-378.463,232.959
229,0,-0.0162022,0.00325258,-0.00546709,253.291,-379.217,232.971
230,0,-0.0152979,0.00392388,-0.00565576,253.299,-380.004,232.972
231,0,-0.0142014,0.00358323,-0.00499609,253.322,-380.719,232.952
232,0,-0.0157204,0.00392325,-0.00517747,253.383,-381.498,232.985
233,0,-0.0161704,0.00249582,-0.00513809,253.422,-382.293,233.004
234,0,-0.0159359,0.00204445,-0.00520908,253.431,-382.981,233.03
235,0,-0.0159718,0.00243467,-0.00510735,253.457,-383.783,233.022
